,cust_no,Recency,Frequency,Monetary
15476,0xb2d32bfd,249,5.0,66834.81666666667
15477,0xb2d14c57,95,13.0,172809.77777777778
15479,0xb2d4882a,169,4.0,14533.963333333331
15480,0xb2d62876,109,30.0,758799.5075000001
15481,0xb2d559a0,373,1.0,57396.18666666667
15485,0xb2d3a9ac,353,14.0,118381.04571428572
15486,0xb2d3bc8a,288,22.0,159392.75125
15487,0xb2d3d3ca,190,8.0,115264.395
15488,0xb2d570ad,94,3.0,1755000.2133333336
15496,0xb2d0eb04,518,21.0,133002.17124999998
15499,0xb2d20ace,197,22.0,418079.0744444445
15501,0xb2d4c5e6,416,10.0,65411.65166666667
15502,0xb2d15074,196,4.0,99865.08
15504,0xb2d4ba4c,200,173.0,44569.35600000001
15507,0xb2d49295,368,12.0,171549.26555555558
15509,0xb2d6f0d7,112,18.0,2782.72
15510,0xb2d6b192,100,7.0,33512.706666666665
15514,0xb2d69113,148,84.0,9657.503333333334
15515,0x3b9af130,547,56.0,425647.72666666674
15517,0xb2d2b2b9,198,14.0,2028608.636
15518,0xb2d419db,194,99.0,1054135.441666667
15520,0x3b9af109,197,81.0,93801.4025
15521,0xb2d1c89e,177,1.0,170215.59666666665
15522,0xb2d27c41,395,6.0,19751.823333333334
15523,0xb2d693e6,200,9.0,441697.9966666666
15524,0xb2d366f8,185,19.0,551781.7300000001
15525,0xb2d625f1,107,16.0,182718.02916666665
15526,0xb2d47390,243,6.0,54245.706666666665
15527,0xb2d6ba14,124,99.0,6999.366666666666
15529,0xb2d2f4a7,277,8.0,1294749.345
15531,0xb2d3a667,101,24.0,803157.7033333335
15533,0xb2d395e1,511,30.0,1050042.1075000002
15534,0xb2d5e493,144,10.0,277237.7783333333
15535,0xb2d26fc6,168,12.0,8533.663333333332
15536,0xb2d206d2,92,3.0,78353.305
15537,0xb2d18c29,98,10.0,144916.86
15540,0xb2d08da4,338,49.0,123580.72333333331
15545,0xb2d59c12,210,3.0,255906.4233333333
15548,0xb2d6bd35,98,16.0,2576.4533333333334
15549,0xb2d44c75,92,9.0,7450399.510000001
15550,0xb2d1cdae,458,1.0,2091924.27
15552,0xb2d2985b,500,4.0,1459.3066666666666
15553,0xb2d38e1c,91,19.0,354845.2911111111
15554,0xb2d65e97,161,3.0,20081.806666666667
15556,0xb2d3319d,195,58.0,145908.56999999998
15557,0xb2d5bd1e,215,3.0,71343.665
15559,0xb2d54aee,108,3.0,83556.24333333333
15562,0xb2d080cc,427,331.0,22436.006666666668
15563,0xb2d41549,183,3.0,78637.334
15566,0x3b9b254a,367,36.0,53687.12333333333
15567,0xb2d327d7,116,13.0,1547.55
15568,0xb2d7eee4,94,26.0,31910.711666666662
15569,0xb2d33149,244,6.0,63735.688888888886
15570,0xb2d2e151,185,4.0,1337791.461666667
15572,0xb2d512e1,367,3.0,1.2033333333333334
15575,0xb2d58418,145,10.0,253228.4728571429
15577,0xb2d44147,510,8.0,1964.863333333333
15578,0xb2d18b9c,155,4.0,146449.3422222222
15579,0xb2d43eb6,163,5.0,208929.36666666664
15583,0xb2d3f590,224,35.0,75995.0025
15584,0xb2d564e0,349,9.0,80005.504
15585,0xb2d78155,103,40.0,249440.839
15586,0xb2d2db3f,379,2.0,114943.225
15587,0xb2d614b1,194,14.0,317.11
15588,0xb2d61b11,203,6.0,97501.715
15589,0xb2d54e36,186,99.0,44849.47166666667
15594,0xb2d1800b,204,319.0,1180652.68
15595,0xb2d1d906,579,9.0,29371.845
15596,0xb2d2d653,94,6.0,62795.83833333334
15597,0xb2d351e6,351,13.0,4248.64
15598,0xb2d274c4,275,5.0,6592362.75
15600,0xb2d6b1e3,111,1.0,100495.55666666666
15604,0xb2d2abe7,405,51.0,3556.6966666666667
15605,0xb2d20852,368,3.0,209745.055
15608,0xb2d58b41,200,6.0,65016.40333333333
15609,0x3b9b2373,524,5.0,7529658.173333333
15613,0xb2d3ca43,378,10.0,450003.575
15614,0xb2d1f874,520,34.0,302821.835
15616,0xb2d11def,357,1.0,314558.52142857143
15617,0xb2d2bcb5,370,18.0,40083.84333333333
15624,0xb2d072dd,272,10.0,460880.205
15626,0xb2d8d386,555,3.0,1.57
15629,0xb2d4f496,323,15.0,135945.136
15631,0xb2d31d15,102,11.0,1880731.994
15632,0x3b9b45ea,95,5.0,71504.97
15633,0xb2d5f081,155,2.0,11750.2825
15636,0xb2d259c1,187,3.0,240551.18500000003
15642,0xb2d2e73f,240,3.0,9104179.868
15644,0xb2d5e4a5,162,2.0,14503.87
15646,0xb2d20741,368,3.0,1273258.1283333332
15647,0xb2d4a543,326,13.0,1581417.93
15651,0xb2d2bc40,284,5.0,336370.565
15652,0x3b9b3789,94,2.0,561547.0666666668
15653,0xb2d6c9ce,92,7.0,122870.71888888888
15654,0xb2d5fe55,105,6.0,637639.866
15656,0xb2d41e9a,129,93.0,185932.34666666668
15657,0xb2d61991,274,3.0,50946.445
15660,0xb2d1f3be,403,5.0,3492.8266666666664
15661,0xb2d52f28,101,5.0,144195.0816666667
15663,0xb2d31fd9,466,41.0,419280.8366666666
15666,0xb2d1ea37,187,4.0,360167.87999999995
15668,0xb2d20474,187,13.0,179373.58
15670,0xb2d21ad9,563,3.0,91668.25166666668
15672,0xb2d386e4,154,1.0,32293.262
15673,0xb2d1dc51,174,3.0,114956.23666666668
15675,0xb2d42ef6,278,4.0,851034.2633333333
15676,0xb2d1b758,186,3.0,175047.46
15681,0xb2d5869d,137,11.0,300018.13444444444
15683,0xb2d343cd,369,7.0,13638.526666666668
15684,0xb2d2e970,288,3.0,288323.7316666667
15689,0xb2d4a333,238,1.0,40021.472
15694,0xb2d207d4,94,3.0,634028.8450000001
15695,0xb2d55ec2,104,242.0,754.48
15696,0xb2d68e76,156,14.0,7348.22
15697,0xb2d5d40d,178,6.0,51118.92166666666
15702,0xb2d6502d,243,4.0,102381.84
15703,0xb2d09350,91,21.0,84314.90666666668
15704,0xb2d44135,528,2.0,60852.636666666665
15706,0xb2d6cecf,159,19.0,1205.2933333333333
15707,0xb2d1297d,593,17.0,3051568.806666667
15708,0xb2d395c6,145,14.0,31411.903333333332
15709,0xb2d58109,100,4.0,105048.39666666664
15711,0xb2d3fe42,94,38.0,6280.530000000002
15713,0xb2d6e6f9,97,3.0,985392.9133333334
15714,0xb2d37c7c,238,7.0,32083.1775
15715,0xb2d6baad,118,5.0,40147.87
15716,0xb2d6a901,187,11.0,12960.003333333332
15717,0xb2d17264,204,22.0,293776.4777777778
15718,0xb2d6a9c7,141,6.0,384.7433333333333
15719,0xb2d1354d,481,2.0,150002.91166666665
15720,0xb2d50501,245,69.0,104284.80833333332
15722,0xb2d0a745,544,16.0,145894.53555555554
15723,0xb2d6e888,103,62.0,4755.0
15724,0xb2d5b856,309,14.0,286309.36285714287
15726,0xb2d1d6bd,548,6.0,115.66
15728,0xb2d1f955,214,2.0,33000.814999999995
15729,0xb2d186ad,436,2.0,79010.41
15730,0xb2d23759,136,20.0,968031.865
15733,0xb2d0acfd,321,66.0,2040.3666666666663
15734,0xb2d2124b,183,273.0,79991.12333333334
15735,0xb2d5c79b,135,5.0,55010.04833333333
15736,0xb2d291a7,507,80.0,29137.41125
15737,0xb2d535eb,104,12.0,64387.2425
15739,0xb2d28e0b,378,4.0,12500.605
15740,0xb2d508f7,233,14.0,529211.3133333334
15745,0xb2d4f334,328,11.0,28038.710000000003
15747,0xb2d2c408,104,26.0,130497.03333333333
15748,0xb2d23e3a,154,3.0,2052418.2133333336
15750,0xb2d4c193,113,287.0,15606.568
15752,0xb2d478a0,368,4.0,7097136.162222223
15753,0xb2d6f27e,100,7.0,6781.996666666667
15755,0xb2d22ce5,196,51.0,3718.451111111111
15757,0xb2d1d534,106,13.0,286674.44
15758,0xb2d2f44d,219,8.0,2303949.235
15759,0xb2d6349d,140,8.0,141690.24333333332
15761,0xb2d68e28,184,4.0,83335.09166666666
15762,0xb2d26390,551,3.0,118155.37333333334
15764,0xb2d48f5f,243,6.0,1890398.525
15766,0xb2d555a1,298,22.0,801551.225
15768,0xb2d143de,291,2.0,204518.034
15770,0xb2d17897,385,2.0,113170.75166666666
15771,0xb2d5b5bc,595,1.0,150512.53166666668
15775,0xb2d4c84d,414,4.0,155658.255
15777,0xb2d6e87c,100,3.0,8859.943333333335
15778,0xb2d65174,179,6.0,16745.643333333337
15779,0xb2d5b829,196,4.0,237992.31
15781,0xb2d14072,222,35.0,304904.8722222223
15782,0xb2d188e7,150,11.0,315169.66
15784,0xb2d5ff0f,154,3.0,83447.755
15785,0xb2d23303,307,3.0,5254888.465
15790,0xb2d4ebe1,93,27.0,3702.893333333333
15791,0xb2d2d6c8,93,4.0,3000154.271666667
15792,0xb2d09593,392,2.0,30344.716000000004
15793,0xb2d1184c,362,11.0,150001.10166666663
15797,0xb2d3a66d,219,16.0,84079.78833333333
15799,0xb2d4e113,307,3.0,2485978.3016666663
15801,0xb2d63cbc,246,12.0,155838.72636363635
15802,0xb2d59387,123,29.0,10005.286666666669
15804,0xb2d67d57,179,39.0,100018.755
15805,0xb2d59939,336,9.0,248667.635
15808,0xb2d6b0c9,177,9.0,3639.9966666666655
15809,0xb2d19889,180,9.0,68606.1288888889
15815,0x3b9af2da,196,331.0,4549.243333333333
15818,0xb2d3153b,199,195.0,398170.77
15824,0xb2d40904,376,302.0,2365.4133333333334
15826,0xb2d1b239,605,1.0,17611.285000000003
15827,0xb2d27740,185,3.0,197418.85333333336
15828,0xb2d0b79e,406,2.0,902789.34
15829,0xb2d6429e,115,5.0,1670.3566666666668
15830,0xb2d2d956,188,3.0,75337.32500000001
15831,0xb2d24e99,470,10.0,32794.81857142857
15832,0xb2d60b9c,103,2.0,135001.17666666667
15835,0xb2d5a941,95,5.0,102211.00833333336
15836,0xb2d1695b,457,14.0,1690.2249999999997
15840,0xb2d1d105,637,6.0,1352.2233333333334
15841,0xb2d4a59a,387,12.0,270000.03
15842,0xb2d65303,240,4.0,255311.7083333333
15844,0xb2d287b4,296,4.0,31809.82
15846,0xb2d67aa2,198,4.0,100160.67666666668
15847,0xb2d52535,372,100.0,3391.4
15849,0xb2d1ba7f,370,16.0,478907.7114285714
15850,0x3b9af160,391,33.0,419525.1444444445
15851,0xb2d32408,188,14.0,1283364.8
15853,0xb2d2607e,387,5.0,128470.30777777778
15859,0xb2d317a2,410,3.0,75461.065
15861,0xb2d20c15,348,3.0,117517.36333333334
15862,0xb2d61070,224,2.0,10021.758333333331
15864,0xb2d2fb31,581,3.0,958500.725
15865,0xb2d25346,216,10.0,830086.8294444445
15867,0xb2d0ae80,394,3.0,24533.74
15872,0xb2d5d5c6,154,6.0,196697.2511111111
15873,0xb2d29c75,521,7.0,157409.32833333334
15874,0xb2d48191,274,14.0,2566755.6466666665
15875,0xb2d8f7b9,575,2.0,7500.0275
15881,0xb2d64d33,245,3.0,6049.605
15882,0xb2d32efd,241,89.0,48122.98666666666
15883,0xb2d676ac,130,2.0,99046.05625
15884,0xb2d439fd,138,8.0,5972.776666666668
15885,0xb2d1dac2,104,403.0,2432.7833333333333
15887,0xb2d23daa,564,2.0,210022.35555555555
15888,0xb2d62b61,121,14.0,17797.72
15890,0xb2d4b2c0,133,3.0,456611.9533333333
15892,0xb2d185b4,91,4.0,203018.60888888888
15894,0xb2d60ab2,281,7.0,5009.331666666667
15895,0xb2d3c35c,466,5.0,39659.03
15896,0xb2d61dfc,220,2.0,50675.188333333324
15897,0x3b9b3ea0,558,39.0,21479.44
15898,0xb2d57851,304,3.0,17404.803333333333
15905,0xb2d5ee32,277,7.0,100060.91000000002
15906,0xb2d4f6ca,93,3.0,1560237.6266666667
15910,0xb2d3e864,293,23.0,1912.57
15912,0x3b9b33bd,279,2.0,130733.948
15913,0xb2d292df,359,9.0,235794.2825
15914,0xb2d6d925,156,5.0,107377.28111111112
15915,0xb2d62669,138,33.0,2625.4966666666664
15917,0xb2d6bf96,104,67.0,16885.326666666668
15920,0x3b9b2b7d,406,61.0,393117.2466666666
15921,0xb2d5d3fb,316,3.0,85284.89666666665
15924,0xb2d64310,214,3.0,15004.113333333333
15926,0xb2d5b526,220,226.0,20864.936
15928,0xb2d649f1,144,10.0,227071.98
15931,0xb2d3119f,214,130.0,27696.95444444444
15933,0xb2d23e0a,163,3.0,888420.2000000001
15934,0xb2d171ec,500,4.0,25728.480000000003
15936,0xb2d599d5,186,52.0,8942.623333333333
15937,0xb2d0982a,529,168.0,264481.76125
15938,0xb2d37061,176,1.0,219210.94888888887
15940,0xb2d2dabe,410,9.0,171078.7066666667
15943,0xb2d1d8bb,438,160.0,113241.07384615384
15944,0xb2d5e8e3,152,5.0,22006.603333333333
15946,0xb2d2aaa6,319,4.0,23735.84
15949,0xb2d49d8d,95,34.0,103345.93
15950,0xb2d48ba2,344,4.0,24008.722
15955,0xb2d260f9,193,5.0,724052.94
15957,0xb2d54f2f,162,174.0,560.49
15958,0xb2d53c54,253,8.0,227015.0883333333
15960,0xb2d20108,417,2.0,729672.7716666666
15964,0xb2d1a4a1,420,3.0,128875.626
15965,0xb2d6bd86,93,10.0,3551.933333333333
15966,0xb2d18164,571,32.0,134781.84250000003
15967,0xb2d689ae,152,1.0,3272890.0366666666
15968,0xb2d59f18,294,12.0,51.65
15969,0xb2d548c3,233,1.0,21.793333333333333
15970,0xb2d62b25,163,19.0,1344.37
15971,0xb2d2eb41,428,6.0,505152.13166666665
15972,0xb2d2d7d0,464,3.0,1439808.1016666666
15976,0xb2d6b4dd,119,5.0,19199.466666666667
15977,0xb2d340d6,556,2.0,21864.336666666662
15978,0xb2d74b01,97,4.0,293639.6733333333
15979,0xb2d5ddd6,108,20.0,37750.725
15980,0xb2d31061,524,18.0,4629.995
15982,0xb2d2dfcb,389,4.0,850092.8566666668
15983,0xb2d607be,221,17.0,192465.22
15984,0xb2d1a945,175,26.0,152137.82
15988,0xb2d6f60e,128,4.0,13333.613333333333
15991,0xb2d5cbf4,326,5.0,51330.15875
15994,0xb2d1c56e,410,5.0,133586.65833333333
15995,0xb2d2b40c,180,4.0,386412.7
15997,0xb2d282fe,127,9.0,20001.70333333333
15998,0xb2d7c32b,96,1.0,241281.738
16000,0xb2d2c17d,517,2.0,235289.365
16001,0xb2d17888,108,23.0,1085943.493
16002,0xb2d11558,291,12.0,464061.4566666667
16004,0xb2d0c96b,196,3.0,90208.05111111113
16005,0xb2d15614,613,14.0,452681.5885714286
16006,0xb2d61e71,161,4.0,20221.036666666667
16007,0xb2d4f52f,276,5.0,105627.45714285714
16008,0xb2d57abe,319,15.0,355003.63333333336
16009,0xb2d14c39,625,1.0,145887.86000000002
16014,0xb2d6b102,185,4.0,100002.81833333334
16016,0xb2d1a3bd,112,28.0,55855.44875
16017,0xb2d1ece3,534,13.0,606.3366666666667
16018,0xb2d4779e,423,4.0,33343.57
16019,0xb2d315ce,93,5.0,1534690.3416666668
16020,0xb2d3cf2f,416,1.0,61155.2225
16025,0xb2d39ca1,282,8.0,27822.04
16029,0xb2d20795,578,5.0,19371.82714285714
16030,0xb2d2bc61,240,11.0,1143.6866666666667
16032,0xb2d108bc,422,15.0,259629.58375
16033,0xb2d12ec6,376,1.0,275997.34
16036,0xb2d35be5,113,14.0,7635062.614999999
16037,0xb2d5387c,251,17.0,4001617.52
16039,0xb2d1b55d,220,4.0,1468284.3733333333
16040,0xb2d52caf,157,3.0,1189074.8233333332
16042,0xb2d28154,416,5.0,139606.82666666666
16044,0xb2d2ce25,92,3.0,344320.7866666667
16049,0xb2d136ee,345,8.0,339810.38444444444
16050,0xb2d5f603,91,4.0,30580.3
16051,0xb2d36a3d,114,145.0,4408.25625
16052,0xb2d59c9f,104,42.0,50056.96166666667
16053,0xb2d11c42,125,21.0,114069.01555555555
16055,0xb2d0a48d,213,106.0,4242.971111111112
16059,0xb2d627e6,182,3.0,21421.03
16060,0xb2d5c813,205,16.0,108791.67333333332
16061,0xb2d57deb,113,5.0,31170.706666666665
16062,0xb2d5eb80,262,2.0,1465.89
16065,0xb2d0e111,399,7.0,237012.005
16066,0xb2d39395,442,3.0,100451.33
16071,0xb2d2554a,388,30.0,186093.261
16072,0xb2d43124,105,44.0,72326.35333333333
16074,0xb2d6aba1,113,9.0,14678.226666666667
16080,0xb2d33ed2,547,3.0,30572.91
16081,0xb2d1c78d,592,65.0,430008.3
16082,0xb2d20aa4,208,313.0,47329.13
16085,0xb2d30c68,578,16.0,312551.29
16089,0xb2d3a622,495,14.0,125010.595
16090,0xb2d0a661,365,31.0,861.3133333333334
16097,0xb2d1b9e9,140,40.0,1255.24
16098,0xb2d57d1f,137,8.0,1637.42
16101,0xb2d51c4a,369,5.0,2291.063333333333
16104,0xb2d2283e,188,9.0,10880.984
16105,0xb2d4b89c,250,4.0,40000.206
16106,0xb2d0a43f,111,8.0,524375.0
16107,0xb2d07eda,595,100.0,10837.0
16108,0xb2d6e81c,138,26.0,501827.4222222223
16109,0xb2d2e286,609,89.0,112614.82666666666
16110,0xb2d34fdc,165,36.0,18731.61333333333
16114,0x3b9af14e,200,31.0,529296.4444444444
16116,0xb2d68372,185,3.0,25392.88333333333
16117,0xb2d631e5,92,8.0,4486.166666666667
16118,0xb2d29363,630,4.0,1040.4333333333334
16119,0xb2d0cc2c,168,5.0,245985.1133333333
16120,0xb2d56ba0,373,6.0,18000286.326
16122,0xb2d6812c,134,20.0,36667.176666666666
16124,0xb2d10652,553,4.0,77129.41
16128,0xb2d2838e,417,69.0,31913.596666666668
16130,0xb2d1605e,197,2.0,137609.525
16131,0xb2d3c53f,566,3.0,403675.8255555556
16133,0xb2d47270,229,12.0,117121.44571428571
16135,0xb2d40e1d,99,2.0,3289.7666666666664
16137,0xb2d34550,136,12.0,11603.833333333334
16140,0xb2d11b58,602,7.0,56684.668333333335
16142,0xb2d35f33,316,5.0,50298.34166666667
16143,0xb2d1de85,588,1.0,30532.936666666665
16144,0xb2d4c99d,437,1.0,30604.886
16146,0x3b9b264c,551,42.0,2840.396666666667
16151,0xb2d56def,289,2.0,1.09
16154,0xb2d0650f,96,24.0,55652.64636363636
16156,0xb2d3e77a,489,10.0,114.4
16157,0xb2d700fd,94,3.0,1333.6133333333337
16160,0xb2d78158,91,10.0,163383.6125
16161,0xb2d1c85f,408,3.0,192781.484
16162,0xb2d5e5dd,293,18.0,34587.54875
16164,0xb2d32a20,258,11.0,52.086666666666666
16165,0xb2d31664,198,192.0,166397.182
16168,0xb2d3e84c,249,12.0,3898.896666666667
16170,0xb2d0ff6b,197,8.0,15729.643333333332
16171,0x3b9b26dc,292,83.0,121025.42111111108
16172,0xb2d5f561,163,6.0,68157.42666666667
16173,0xb2d65a23,92,15.0,166150.38799999998
16174,0xb2d2b5c5,183,6.0,22192.096666666668
16176,0xb2d0e744,179,13.0,193080.44333333333
16177,0xb2d477d1,308,3.0,262500.10750000004
16178,0xb2d23b6d,250,15.0,191670.81166666668
16180,0xb2d1a6c9,613,6.0,420567.05833333335
16181,0xb2d57857,254,3.0,33682.441666666666
16183,0xb2d1fc3d,180,41.0,4862.533333333334
16184,0x3b9af217,323,95.0,355943.1875
16185,0xb2d10f43,112,24.0,166667.08333333334
16186,0xb2d54e4b,181,14.0,2512.3666666666663
16187,0xb2d1bd55,573,4.0,291768.04571428575
16188,0xb2d0ef06,121,73.0,312306.4171428572
16190,0xb2d1e71f,382,195.0,43267.41
16192,0xb2d65102,160,10.0,257702.6875
16193,0x3b9af28c,527,118.0,40860.86375
16197,0xb2d4bcd4,193,6.0,450121.1633333333
16199,0xb2d35e70,296,153.0,6235.267142857142
16201,0xb2d3d3fa,474,16.0,213857.1233333333
16204,0xb2d21839,274,3.0,262372.24000000005
16207,0xb2d8f5e8,575,2.0,15000.21
16208,0xb2d3c785,282,9.0,14002.545
16209,0xb2d599c3,185,18.0,77754.34555555554
16211,0xb2d6e795,122,4.0,12520.08
16212,0xb2d0d8cb,422,1.0,383924.9533333333
16213,0xb2d63dd3,113,3.0,49064.68
16215,0xb2d0692c,215,284.0,2167.133333333333
16216,0xb2d21164,340,4.0,256312.18
16219,0xb2d37c88,192,10.0,5911.849999999999
16221,0xb2d1f1de,415,38.0,2732.5400000000004
16222,0x3b9af100,423,160.0,449781.00125
16223,0xb2d5ab24,156,12.0,128813.45333333332
16224,0xb2d0c212,119,14.0,337196.08428571426
16225,0xb2d0c872,282,31.0,246218.67666666664
16227,0xb2d5fbe5,290,10.0,158337.57166666668
16229,0xb2d63b99,225,186.0,4007.6866666666665
16231,0xb2d564c2,278,17.0,260510.83166666664
16232,0xb2d3c551,455,5.0,187941.47142857144
16233,0xb2d254ed,174,11.0,375337.5725
16235,0xb2d687fe,168,9.0,65961.53499999999
16237,0xb2d3321e,165,9.0,23425.286666666667
16240,0xb2d4ec4d,352,1.0,400001.2
16241,0xb2d6571a,121,3.0,102564.44083333334
16242,0xb2d59033,143,3.0,113861.81833333331
16247,0xb2d3552b,584,6.0,5001520.34
16252,0xb2d1530b,189,26.0,550736.5966666667
16254,0xb2d5ef73,302,18.0,1933.56
16256,0x3b9b1353,199,12.0,12152.286666666669
16257,0xb2d1c3a9,392,4.0,313590.23000000004
16258,0xb2d0d6c7,300,2.0,1130263.56
16259,0xb2d5cbb8,245,17.0,1047.11
16261,0xb2d6be04,174,271.0,3490.9666666666667
16262,0xb2d3e975,274,13.0,3499.736666666666
16263,0xb2d42d13,184,12.0,1897.94
16265,0xb2d5c8b8,176,7.0,65020.3025
16268,0xb2d4dbbe,187,7.0,16932.766666666666
16270,0xb2d22232,207,5.0,406006.5833333333
16273,0xb2d25940,112,8.0,889494.3450000001
16274,0xb2d2f1b0,379,3.0,20008.052
16275,0xb2d700a9,94,3.0,1867.0566666666664
16279,0xb2d25b89,261,26.0,307661.6233333333
16280,0xb2d185ae,233,7.0,8334.263333333332
16281,0xb2d1bbff,635,170.0,2716.34
16282,0xb2d51281,267,7.0,87876.08875
16285,0xb2d31421,366,8.0,4299777.921666667
16286,0xb2d417b0,308,54.0,188030.18875
16287,0xb2d68657,93,16.0,7257.863333333334
16288,0xb2d610d6,158,1.0,30737.45
16289,0xb2d65b6d,160,3.0,1490168.015
16290,0xb2d4d1a7,470,7.0,81913.55666666667
16292,0xb2d0d6ee,534,30.0,257770.07
16293,0xb2d6f9b0,123,3.0,202136.15777777776
16294,0xb2d6a8da,123,1.0,97438.27166666668
16295,0xb2d69cc2,193,16.0,150000.61166666666
16296,0xb2d16a81,216,4.0,30116.476
16297,0xb2d2ec0a,217,2.0,4442.118333333334
16298,0xb2d2b6d3,549,3.0,679469.2616666667
16300,0xb2d20666,229,118.0,13074.253333333334
16302,0xb2d34559,588,6.0,49217.886666666665
16303,0xb2d2cc51,241,3.0,433448.275
16304,0xb2d22151,386,9.0,903003.72
16306,0xb2d5b51a,265,5.0,31934.51333333333
16309,0xb2d268c7,102,44.0,397957.0516666667
16311,0xb2d13b11,189,9.0,257731.325
16312,0xb2d2e35b,185,13.0,163633.94999999998
16314,0xb2d8cdf8,557,3.0,8571.534285714286
16317,0xb2d43cfd,338,8.0,34000.55333333334
16321,0xb2d6ec54,97,1.0,40091.2
16322,0xb2d51e72,222,69.0,16791.24666666667
16327,0xb2d4e12e,240,9.0,199143.87444444443
16330,0xb2d6e19e,126,3.0,100015.63833333332
16334,0x3b9af0eb,498,70.0,29576.146666666667
16335,0x3b9af121,190,19.0,150046.74285714288
16339,0xb2d301fd,173,1.0,157975.628
16340,0xb2d35174,133,15.0,427943.78
16344,0xb2d5d2b4,125,11.0,3887.903333333333
16345,0xb2d3a7fc,408,6.0,424088.63833333337
16347,0xb2d59dce,349,93.0,1425.5133333333335
16350,0xb2d60782,241,30.0,668897.3500000001
16351,0xb2d5748b,221,22.0,284295.715
16352,0xb2d606fb,210,6.0,1653.5500000000002
16355,0xb2d62dda,275,1.0,135700.74
16356,0xb2d43d9f,116,7.0,135792.0766666667
16357,0xb2d3b5f1,205,2.0,294182.35666666663
16358,0xb2d50a80,366,1.0,42.406666666666666
16365,0xb2d5a362,324,3.0,140005.96666666667
16366,0xb2d2909f,391,13.0,195959.48142857145
16368,0xb2d6a3a9,91,3.0,34153.329999999994
16369,0xb2d5ce13,103,22.0,422906.015
16371,0xb2d3e1dd,283,7.0,697964.6583333333
16373,0xb2d3042b,385,1.0,534002.2000000001
16375,0xb2d697a6,134,16.0,869913.4199999999
16377,0xb2d34613,227,22.0,358285.73
16378,0xb2d2794d,108,3.0,96729.83375
16379,0xb2d5c0c0,315,6.0,384229.36
16381,0xb2d33071,414,6.0,47657.72
16382,0xb2d33c8c,563,23.0,1711053.086666667
16385,0xb2d5915f,192,19.0,271554.87875
16392,0xb2d0e723,131,2.0,60757.652
16394,0xb2d54bd5,184,153.0,3543.523333333333
16396,0xb2d3fe24,251,17.0,1024200.85
16397,0xb2d6097d,255,12.0,2376.6
16399,0xb2d1af3f,423,140.0,156874.60666666666
16400,0xb2d8ccdb,556,1.0,37500.395
16401,0xb2d5a06e,128,3.0,271728.095
16402,0xb2d5635d,194,3.0,157798.44
16405,0xb2d5b661,212,37.0,8455.18
16407,0xb2d52ad5,364,2.0,11940150.52
16408,0xb2d451fa,155,8.0,104991.30615384618
16409,0xb2d5b844,315,12.0,212023.99
16410,0xb2d534e0,208,148.0,6068.996666666666
16411,0xb2d5699c,385,6.0,206799.66
16416,0xb2d5ee14,241,3.0,150810.695
16417,0x3b9b1a37,161,20.0,272767.9675
16418,0xb2d26939,586,3.0,275542.50666666665
16419,0xb2d0d3ca,587,1.0,64977.62
16420,0xb2d3ab8c,376,4.0,8195311.676666667
16421,0xb2d6f2d5,127,17.0,2730.483333333333
16424,0xb2d3ad84,428,13.0,191770.06500000003
16425,0xb2d43139,397,3.0,2259470.1916666664
16426,0xb2d11eb5,186,4.0,25000.478333333336
16427,0xb2d12137,418,13.0,278670.19666666666
16428,0xb2d1722e,424,15.0,14855.19
16429,0xb2d5b64c,181,9.0,16727.46
16432,0xb2d43a33,247,10.0,621992.7166666667
16438,0xb2d6ce7b,164,5.0,1298593.5533333332
16441,0xb2d2b55f,100,7.0,77251.79
16442,0xb2d4232c,422,5.0,124915.61666666664
16443,0xb2d55205,345,66.0,2238.7066666666665
16445,0xb2d337f1,588,12.0,367479.6275
16446,0xb2d477c5,299,13.0,1.0366666666666666
16448,0xb2d3e261,104,4.0,102758.23555555556
16449,0xb2d5ff3f,236,2.0,69069.2418181818
16452,0xb2d141cb,201,1.0,129562.27
16455,0xb2d4fa51,205,3.0,263409.17333333334
16457,0xb2d30d40,100,19.0,257735.0125
16460,0xb2d2f633,378,7.0,8737.553333333333
16465,0xb2d3e60c,190,11.0,103346.94833333336
16467,0xb2d67a81,135,3.0,100001.98166666664
16468,0xb2d6929f,205,15.0,1303.57
16469,0xb2d40d7e,221,3.0,12685.55
16470,0xb2d13e8f,134,1.0,91118.486
16476,0xb2d438c5,408,76.0,1389.263333333333
16478,0xb2d320e7,220,4.0,56486.04666666667
16479,0xb2d2321f,201,8.0,118165.49666666666
16480,0xb2d1c250,101,14.0,75527.32166666667
16483,0xb2d45ef0,247,45.0,8931.42
16485,0xb2d15b27,241,29.0,52712.16999999999
16486,0xb2d12b06,232,6.0,336669.855
16487,0xb2d23f63,202,11.0,331155.7975
16488,0xb2d0fd76,393,3.0,604558.7633333333
16489,0xb2d58064,182,15.0,116003.8925
16493,0xb2d432aa,185,3.0,811754.9216666667
16495,0xb2d3cf59,277,4.0,96720.38833333332
16497,0xb2d7563e,119,10.0,4061.56
16500,0xb2d34c2e,252,1.0,17739.076666666664
16502,0xb2d596f9,318,6.0,30943.88444444444
16505,0xb2d27ffb,141,3.0,895894.35
16510,0xb2d68294,152,3.0,250017.55666666664
16511,0xb2d47600,285,2.0,135013.255
16512,0x3b9b4503,114,3.0,15001.86
